"h","window","pI","D","fD","Het","RD","Q95","Q90","Qmax","U0","U20","U50","U80"
"0.01","14","0.02","0.2","0.01","0.02","0.01","0.03","0.02","0.03","0.04","0.03","0.01","1"
"0.01","15","0.02","0.2","0.01","0.03","0.01","0.02","0.02","0.02","0.03","0.05","0.01","1"
"0.01","16","0.02","0.24","0.01","0.03","0.01","0.02","0.02","0.02","0.07","0.08","0.01","1"
"0.01","17","0","0.32","0.03","0.03","0.02","0.02","0.02","0.02","0.05","0.03","0.01","1"
"0.01","18","0","0.3","0.02","0.02","0.01","0.02","0.02","0.02","0.06","0.04","0.01","1"
"0.01","19","0","0.32","0.01","0.02","0.01","0.02","0.02","0.02","0.03","0.03","0.01","1"
"0.01","20","0.02","0.28","0.04","0.04","0.02","0.02","0.02","0.02","0.05","0.04","0.02","1"
"0.01","21","0.02","0.24","0.03","0.06","0.02","0.02","0.02","0.02","0.02","0","0.02","1"
"0.01","22","0.02","0.25","0.03","0.13","0.01","0.02","0.02","0.02","0.01","0.03","0.01","1"
"0.01","23","0.02","0.25","0.02","0.17","0","0.01","0.01","0.01","0","0","0","1"
"0.01","24","0","0.23","0.01","0.19","0","0.01","0.01","0.01","0","0.02","0","1"
"0.01","25","0","0.23","0.01","0.21","0","0.01","0.01","0.01","0","0.01","0.01","1"
"0.01","26","0","0.23","0.01","0.18","0","0.01","0.01","0.01","0.02","0.01","0.01","1"
"0.01","27","0","0.25","0.01","0.19","0","0.01","0.01","0.01","0","0","0.01","1"
"0.01","28","0","0.23","0.02","0.18","0","0.01","0.01","0.01","0.01","0.02","0.01","1"
"0.01","29","0","0.22","0.03","0.2","0","0.01","0.01","0.01","0.01","0.03","0.01","1"
"0.01","30","0","0.23","0.01","0.2","0","0.01","0.01","0.01","0.01","0.02","0","1"
"0.01","31","0","0.24","0.01","0.19","0","0.01","0.01","0.01","0.02","0.01","0.01","1"
"0.01","32","0","0.21","0.02","0.19","0","0.01","0.01","0.01","0.01","0.01","0.01","1"
"0.01","33","0.02","0.19","0.02","0.13","0","0.03","0.03","0.03","0.02","0.04","0.01","1"
"0.01","34","0","0.27","0.04","0.11","0.03","0.03","0.03","0.03","0.01","0.01","0.03","1"
"0.01","35","0","0.29","0.05","0.11","0.03","0.03","0.03","0.03","0.02","0.01","0.01","1"
"0.01","36","0","0.32","0.04","0.14","0.02","0.03","0.03","0.03","0.03","0.03","0.04","1"
"0.01","37","0.03","0.21","0.02","0.08","0.02","0.04","0.04","0.06","0.01","0.03","0.02","1"
"0.01","38","0.04","0.27","0.05","0.05","0.05","0.03","0.03","0.03","0.04","0.04","0.04","1"
"0.01","39","0","0.33","0.02","0.05","0.05","0.03","0.03","0.03","0.04","0.04","0.05","1"
"0.01","40","0","0.33","0.03","0.05","0.06","0.03","0.03","0.03","0.07","0.05","0.05","1"
"0.01","41","0","0.35","0.03","0.05","0.02","0.03","0.03","0.03","0.07","0.08","0.05","1"
"0.01","42","0","0.33","0.04","0.05","0.03","0.03","0.03","0.03","0.03","0.04","0.04","1"
"0.01","43","0.05","0.29","0.03","0.05","0.05","0.03","0.03","0.03","0.07","0.07","0.04","1"
"0.01","44","0.06","0.35","0.02","0","0.04","0.04","0.04","0.03","0.05","0.04","0.04","1"
"0.01","45","0.07","0.33","0.03","0.02","0.04","0.04","0.04","0.04","0.05","0.04","0.03","1"
"0.01","46","0.06","0.24","0.04","0.01","0.06","0.05","0.05","0.05","0.04","0.04","0.04","1"
"0.01","47","0.09","0.25","0.05","0.01","0.04","0.08","0.08","0.08","0.06","0.06","0.06","1"
"0.01","48","0.06","0.11","0.04","0","0.04","0.09","0.09","0.09","0.04","0.05","0.05","1"
"0.01","49","0.07","0.31","0.07","0.01","0.07","0.07","0.07","0.06","0.06","0.07","0.06","1"
"0.01","50","0.08","0.12","0.04","0","0.07","0.1","0.1","0.1","0.1","0.09","0.09","1"
"0.01","51","0.12","0.33","0.06","0.03","0.09","0.1","0.1","0.09","0.05","0.06","0.07","1"
"0.01","52","0","0.29","0.07","0.03","0.09","0.1","0.1","0.09","0.05","0.05","0.07","1"
"0.01","53","0","0.34","0.06","0.04","0.09","0.1","0.1","0.09","0.05","0.08","0.05","1"
"0.01","54","0","0.34","0.07","0.04","0.11","0.1","0.1","0.09","0.06","0.05","0.07","1"
"0.01","55","0","0.33","0.08","0.03","0.11","0.1","0.1","0.09","0.02","0.04","0.09","1"
"0.01","56","0","0.35","0.04","0.03","0.09","0.1","0.1","0.09","0.05","0.07","0.04","1"
"0.01","57","0","0.35","0.06","0.03","0.1","0.1","0.1","0.09","0.02","0.06","0.06","1"
"0.01","58","0","0.34","0.06","0.04","0.08","0.1","0.1","0.09","0.03","0.06","0.07","1"
"0.01","59","0","0.35","0.08","0.03","0.09","0.1","0.1","0.09","0.03","0.05","0.07","1"
"0.01","60","0","0.29","0.06","0.03","0.08","0.1","0.1","0.09","0.04","0.06","0.05","1"
"0.01","61","0","0.3","0.06","0.03","0.09","0.1","0.1","0.09","0.05","0.06","0.08","1"
"0.01","62","0","0.35","0.06","0.02","0.08","0.1","0.1","0.09","0.02","0.04","0.05","1"
"0.01","63","0","0.32","0.07","0.03","0.1","0.1","0.1","0.09","0.04","0.05","0.07","1"
"0.01","64","0","0.3","0.06","0.03","0.09","0.1","0.1","0.09","0.04","0.07","0.07","1"
"0.01","65","0","0.33","0.06","0.05","0.08","0.1","0.1","0.09","0.03","0.04","0.05","1"
"0.01","66","0.12","0.33","0.09","0.03","0.09","0.1","0.1","0.09","0.03","0.06","0.09","1"
"0.01","67","0.1","0.23","0.07","0.01","0.09","0.1","0.1","0.11","0.06","0.07","0.08","1"
